aircraft_name,image_type,source_url,source_domain,local_file_path
AS365N2 Dauphin,interior,https://www.jamesbondlifestyle.com/sites/default/files/images/product/au059-eurocopter-as365-dauphin-n2-g-lcpl-details.jpg,www.jamesbondlifestyle.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_03.jpg
AS365N2 Dauphin,interior,https://www.helistar.eu/wp-content/uploads/2024/05/as-365_sx-hdy_gallery-1.jpg,www.helistar.eu,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_04.jpg
AS365N2 Dauphin,interior,https://1.bp.blogspot.com/-YkMzFCeDkDo/YEVr4opg2lI/AAAAAAAAMTc/TK26DMzdby0mdoRS7-lKBs-LiRLdvN6kwCLcBGAsYHQ/s1920/EUROCOPTER+AS365+DAUPHIN+16.jpg,1.bp.blogspot.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_05.jpg
AS365N2 Dauphin,interior,https://1.bp.blogspot.com/-_wsR5AWHujg/XgDfcmRaTMI/AAAAAAAADNQ/EE9S8Cy_IEkbw3H2AoFLs-fwMobXCwn2QCEwYBhgL/s640/Airbus-AS365-N3%2B-Dauphin-interior.JPG,1.bp.blogspot.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_06.jpg
AS365N2 Dauphin,interior,https://preview.free3d.com/img/2017/07/2374235159386916676/1v0qymvu.jpg,preview.free3d.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_07.jpg
AS365N2 Dauphin,interior,https://aviamarket.aero/upload/iblock/85f/bwvmxhgkal3kug0znqh5nu4o6z1crv68.jpg,aviamarket.aero,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_08.jpg
AS365N2 Dauphin,interior,https://i.pinimg.com/originals/07/f2/ac/07f2acf57449ae327de937a75d256cf9.jpg,i.pinimg.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_09.jpg
AS365N2 Dauphin,interior,https://www.industrialmarinepower.com/products/dauphin-as-365-n2-for-sale_631.jpg,www.industrialmarinepower.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_10.jpg
AW109,exterior,https://cdn.avbuyer.com/live/uploads/image/372301_372400/aircraft-helicopter-turbine-leonardo-aw109sp-grand-new-372368_7223c4fd3ab532d8.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW109\exterior_01.jpg
AW109,exterior,https://jety.com/file/1660144591-EXT2.jpeg,jety.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW109\exterior_02.jpg
AW109,exterior,https://cdn.avbuyer.com/live/uploads/image/371101_371200/aircraft-helicopter-turbine-leonardo-aw109sp-grand-new-371145_ab1191ec5d283059.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW109\exterior_03.jpg
AW109,exterior,https://exclases.com/wp-content/uploads/2025/04/aw109grandnew.jpg,exclases.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW109\exterior_04.jpg
AW109,exterior,https://cdn.avbuyer.com/live/uploads/image/362101_362200/aircraft-helicopter-turbine-leonardo-aw109-trekker-362131_1116f4021d7931bc_920X485.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW109\exterior_05.jpg
AW139,exterior,https://exclases.com/wp-content/uploads/2020/08/AW139-20-1.jpg,exclases.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\exterior_01.jpg
AW139,exterior,https://cdn.avbuyer.com/live/uploads/image/371301_371400/aircraft-helicopter-turbine-leonardo-aw139-371371_235b4ea56f689e3e.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\exterior_02.jpg
AW139,exterior,https://www.aeroasset.com/img/pic_big_06/Leonardo-AW139-31497_2022x1130_06.jpg,www.aeroasset.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\exterior_03.jpg
AW139,exterior,https://kulljet.aero/wp-content/uploads/2022/08/DFKL7eTXUAAFiul-scaled.jpg,kulljet.aero,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\exterior_04.jpg
AW139,exterior,https://jety.com/file/1629719333-KSV-970211.jpeg,jety.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\exterior_05.jpg
AW139,interior,https://exclases.com/wp-content/uploads/2020/08/AW139-63-1.jpeg,exclases.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_01.jpg
AW139,interior,https://cdn.avbuyer.com/live/uploads/image/373001_373100/aircraft-helicopter-turbine-leonardo-aw139-373017_19e1b71306ebca3d.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_02.jpg
AW139,interior,https://www.leonardo.com/documents/20142/105411/body_private_executive.jpg/be76e753-798b-53d7-879e-2d5e214ce91a?t=1538988538293,www.leonardo.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_03.jpg
AW139,interior,https://www.leonardo.com/documents/15646808/16759643/body_AW139_focus5_720.jpg/d979d517-d3f6-1939-ce19-30909801ed72?t=1549547446896,www.leonardo.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_04.jpg
AW139,interior,"https://www.ainonline.com/cdn-cgi/image/width=3840,format=webp,quality=95/https://backend.ainonline.com/sites/default/files/styles/fpsc_1200x630/public/uploads/2023/04/mag_dsc5984i.jpg?h=eb4b6aec&itok=BjwDKUGN",www.ainonline.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_05.jpg
AW139,interior,https://cdn.avbuyer.com/live/uploads/image/373101_373200/aircraft-helicopter-turbine-leonardo-aw139-373180_4727e6ae1000f36b.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_06.jpg
AW139,interior,https://synerjet.com/en/wp-content/uploads/2024/07/aw139_dt02.jpg,synerjet.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_07.jpg
AW139,interior,https://www.agusta.com/uploads/media/29af23c03f55de3cee3306cce2cf88fc.jpg,www.agusta.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_08.jpg
AW139,interior,https://synerjet.com/en/wp-content/uploads/2024/07/aw139_dt01.jpg,synerjet.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_09.jpg
AW139,interior,https://i.pinimg.com/originals/12/0d/72/120d728dfc7f1fd933a06c880622b73e.jpg,i.pinimg.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW139\interior_10.jpg
AW169,exterior,https://cdn.avbuyer.com/live/uploads/image/373601_373700/aircraft-helicopter-turbine-leonardo-aw169-373683_b6f083dba3bc2924.jpg,cdn.avbuyer.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW169\exterior_01.jpg
AW169,exterior,https://avpay.aero/wp-content/uploads/2015-Leonardo-AW169-Turbine-Helicopter-For-Sale-N169R-From-SkyShare-On-AvPay-aircraft-exterior-front-right.jpg,avpay.aero,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AW169\exterior_02.jpg
